,ID_REF,IDENTIFIER
774,YDL141W,BPL1
775,YDL142C,CRD1
776,YDL143W,CCT4
777,YDL144C,YDL144C
778,YDL145C,COP1
779,YDL146W,LDB17
780,YDL147W,RPN5
781,YDL148C,NOP14
782,YDL149W,ATG9
783,YDL150W,RPC53
784,YDL153C,SAS10
785,YDL154W,MSH5
786,YDL155W,CLB3
787,YDL156W,CMR1
788,YDL157C,YDL157C
789,YDL159W,STE7
790,YDL159W-A,YDL159W-A
791,YDL160C,DHH1
792,YDL161W,ENT1
793,YDL164C,CDC9
794,YDL165W,CDC36
795,YDL166C,FAP7
796,YDL167C,NRP1
797,YDL168W,SFA1
798,YDL169C,UGX2
799,YDL170W,UGA3
800,YDL171C,GLT1
801,YDL173W,PAR32
802,YDL174C,DLD1
803,YDL175C,AIR2
804,YDL176W,YDL176W
805,YDL177C,YDL177C
806,YDL178W,DLD2
807,YDL179W,PCL9
808,YDL180W,YDL180W
809,YDL181W,INH1
810,YDL182W,LYS20
811,YDL183C,YDL183C
812,YDL184C,RPL41A
813,YDL185W,VMA1
814,YDL186W,YDL186W
815,YDL188C,PPH22
816,YDL189W,RBS1
817,YDL190C,UFD2
818,YDL191W,RPL35A
819,YDL192W,ARF1
820,YDL193W,NUS1
821,YDL194W,SNF3
822,YDL195W,SEC31
823,YDL197C,ASF2
824,YDL198C,GGC1
825,YDL199C,YDL199C
826,YDL200C,MGT1
827,YDL201W,TRM8
828,YDL202W,MRPL11
829,YDL203C,ACK1
830,YDL204W,RTN2
831,YDL205C,HEM3
832,YDL206W,YDL206W
833,YDL207W,GLE1
834,YDL208W,NHP2
835,YDL209C,CWC2
836,YDL210W,UGA4
837,YDL211C,YDL211C
838,YDL212W,SHR3
839,YDL213C,NOP6
840,YDL214C,PRR2
841,YDL215C,GDH2
842,YDL216C,RRI1
843,YDL217C,TIM22
844,YDL218W,YDL218W
845,YDL219W,DTD1
846,YDL220C,CDC13
847,YDL222C,FMP45
848,YDL223C,HBT1
849,YDL224C,WHI4
850,YDL225W,SHS1
851,YDL226C,GCS1
852,YDL227C,HO
853,YDL229W,SSB1
854,YDL230W,PTP1
855,YDL231C,BRE4
856,YDL232W,OST4
857,YDL233W,MFG1
858,YDL234C,GYP7
859,YDL235C,YPD1
860,YDL236W,PHO13
861,YDL237W,AIM6
862,YDL238C,GUD1
863,YDL239C,ADY3
864,YDL240W,LRG1
865,YDL241W,YDL241W
866,YDL243C,AAD4
867,YDL244W,THI13
868,YDL245C,HXT15
869,YDL246C,SOR2
870,YDL247W,MPH2
871,YDL248W,COS7
872,YDR001C,NTH1
873,YDR002W,YRB1
874,YDR003W,RCR2
875,YDR004W,RAD57
876,YDR005C,MAF1
877,YDR006C,SOK1
878,YDR007W,TRP1
879,YDR009W,GAL3
880,YDR011W,SNQ2
881,YDR012W,RPL4B
882,YDR013W,PSF1
883,YDR014W,RAD61
884,YDR016C,DAD1
885,YDR017C,KCS1
886,YDR018C,YDR018C
887,YDR019C,GCV1
888,YDR020C,DAS2
889,YDR021W,FAL1
890,YDR022C,ATG31
891,YDR023W,SES1
892,YDR025W,RPS11A
893,YDR026C,NSI1
894,YDR027C,VPS54
895,YDR028C,REG1
896,YDR030C,RAD28
897,YDR031W,MIX14
898,YDR032C,PST2
899,YDR033W,MRH1
900,YDR034C,LYS14
901,YDR034C-A,YDR034C-A
902,YDR034W-B,YDR034W-B
903,YDR035W,ARO3
